Found 570 ships
<48.3797°N 4.48559°W @ 2013-10-01T19:46:00
<48.37968°N 4.485585°W @ 2013-10-01T19:55:00
<48.37969°N 4.485585°W @ 2013-10-01T20:04:00
<48.37972°N 4.485602°W @ 2013-10-01T20:13:00
<48.37969°N 4.4856°W @ 2013-10-01T20:22:00
<48.37969°N 4.485589°W @ 2013-10-01T20:31:00
<48.37969°N 4.485582°W @ 2013-10-01T20:49:00
<48.37971°N 4.485582°W @ 2013-10-01T20:58:00
<48.37971°N 4.485565°W @ 2013-10-01T21:07:00
<48.3797°N 4.485572°W @ 2013-10-01T21:16:00
<48.3797°N 4.485603°W @ 2013-10-01T21:25:00
<48.37971°N 4.4856°W @ 2013-10-01T21:34:00
<48.3797°N 4.485593°W @ 2013-10-01T21:43:00
ABRADEN (12 positions)
<47.86622°N 3.917533°W @ 2013-10-01T00:18:00
<47.84838°N 3.92755°W @ 2013-10-01T00:29:00
<47.8323°N 3.9282°W @ 2013-10-01T00:37:00
<47.81237°N 3.926983°W @ 2013-10-01T00:48:00
<47.79198°N 3.92485°W @ 2013-10-01T00:58:00
<47.77628°N 3.92315°W @ 2013-10-01T01:07:00
<47.75983°N 3.92055°W @ 2013-10-01T01:16:00
<47.73577°N 3.915833°W @ 2013-10-01T01:28:00
<47.71447°N 3.91015°W @ 2013-10-01T01:39:00
<47.69603°N 3.905567°W @ 2013-10-01T01:49:00
<47.68277°N 3.9024°W @ 2013-10-01T01:56:00
<47.6667°N 3.898683°W @ 2013-10-01T02:04:00
ADELIA 2 (43 positions)
<47.71253°N 3.353717°W @ 2013-09-30T22:08:00
<47.71253°N 3.3537°W @ 2013-09-30T22:29:00
<47.71252°N 3.35375°W @ 2013-09-30T22:38:00
<47.71253°N 3.353733°W @ 2013-09-30T22:56:00
<47.71253°N 3.353717°W @ 2013-09-30T23:11:00
<47.71252°N 3.353733°W @ 2013-09-30T23:29:00
<47.71253°N 3.353717°W @ 2013-09-30T23:38:00
<47.7125°N 3.353733°W @ 2013-09-30T23:59:00
<47.7125°N 3.3537°W @ 2013-10-01T00:11:00
<47.71245°N 3.353733°W @ 2013-10-01T00:23:00
<47.71253°N 3.353717°W @ 2013-10-01T00:32:00
<47.7125°N 3.353717°W @ 2013-10-01T00:44:00
<47.7125°N 3.353717°W @ 2013-10-01T00:56:00
<47.71253°N 3.35375°W @ 2013-10-01T01:08:00
<47.71255°N 3.3537°W @ 2013-10-01T01:20:00
<47.7125°N 3.353733°W @ 2013-10-01T01:35:00
<47.71252°N 3.353733°W @ 2013-10-01T01:44:00
<47.7125°N 3.353733°W @ 2013-10-01T01:56:00
<47.71252°N 3.353717°W @ 2013-10-01T02:05:00
<47.71248°N 3.353767°W @ 2013-10-01T02:14:00
<47.7125°N 3.35375°W @ 2013-10-01T02:23:00
<47.71248°N 3.353733°W @ 2013-10-01T02:32:00
<47.71248°N 3.353733°W @ 2013-10-01T02:41:00
<47.71252°N 3.353717°W @ 2013-10-01T02:50:00
<47.71252°N 3.3537°W @ 2013-10-01T03:02:00
<47.7125°N 3.353733°W @ 2013-10-01T03:17:00
<47.7125°N 3.3537°W @ 2013-10-01T03:26:00
<47.71248°N 3.353717°W @ 2013-10-01T03:41:00
<47.71253°N 3.35375°W @ 2013-10-01T03:53:00
<47.71252°N 3.353733°W @ 2013-10-01T04:02:00
<47.7125°N 3.353717°W @ 2013-10-01T04:17:00
<47.71252°N 3.353733°W @ 2013-10-01T04:44:00
<47.68217°N 3.375417°W @ 2013-10-01T05:29:00
<47.68158°N 3.390083°W @ 2013-10-01T05:33:00
<47.58052°N 3.575033°W @ 2013-10-01T17:44:00
<47.60387°N 3.56325°W @ 2013-10-01T17:54:00
<47.67682°N 3.447683°W @ 2013-10-01T18:43:00
<47.68823°N 3.399467°W @ 2013-10-01T18:58:00
<47.70163°N 3.37115°W @ 2013-10-01T19:08:00
<47.71487°N 3.363533°W @ 2013-10-01T19:15:00
<47.71248°N 3.3537°W @ 2013-10-01T21:18:00
<47.71247°N 3.353733°W @ 2013-10-01T21:32:00
<47.71248°N 3.353717°W @ 2013-10-01T21:41:00
ADELINE STEPHEN (38 positions)
<47.72886°N 3.364355°W @ 2013-09-30T22:38:00
<47.72885°N 3.364373°W @ 2013-09-30T22:47:00
<47.72886°N 3.364387°W @ 2013-09-30T22:58:00
<47.72886°N 3.364388°W @ 2013-09-30T23:07:00
<47.72886°N 3.364388°W @ 2013-09-30T23:17:00
<47.72884°N 3.364385°W @ 2013-09-30T23:26:00
<47.72884°N 3.36438°W @ 2013-09-30T23:35:00
<47.72886°N 3.364372°W @ 2013-09-30T23:45:00
<47.72886°N 3.36438°W @ 2013-09-30T23:55:00
<47.72884°N 3.364393°W @ 2013-10-01T00:04:00
<47.72885°N 3.364395°W @ 2013-10-01T00:14:00
<47.72886°N 3.364373°W @ 2013-10-01T00:27:00
<47.72885°N 3.364388°W @ 2013-10-01T00:37:00
<47.72886°N 3.364385°W @ 2013-10-01T00:51:00
<47.72884°N 3.364382°W @ 2013-10-01T01:01:00
<47.72884°N 3.364387°W @ 2013-10-01T01:12:00
<47.72884°N 3.364397°W @ 2013-10-01T01:23:00
<47.72884°N 3.364397°W @ 2013-10-01T01:33:00
<47.72885°N 3.364387°W @ 2013-10-01T01:43:00
<47.72884°N 3.364387°W @ 2013-10-01T02:03:00
<47.72887°N 3.364383°W @ 2013-10-01T03:02:00
<47.72889°N 3.364377°W @ 2013-10-01T03:16:00
<47.72886°N 3.364375°W @ 2013-10-01T03:27:00
<47.72885°N 3.364385°W @ 2013-10-01T03:38:00
<47.72886°N 3.364382°W @ 2013-10-01T03:48:00
<47.72886°N 3.364382°W @ 2013-10-01T03:57:00
<47.72885°N 3.364377°W @ 2013-10-01T04:11:00
<47.72886°N 3.36438°W @ 2013-10-01T04:23:00
<47.72893°N 3.364492°W @ 2013-10-01T04:33:00
<47.72886°N 3.364393°W @ 2013-10-01T04:42:00
<47.72885°N 3.364368°W @ 2013-10-01T04:53:00
<47.72886°N 3.364368°W @ 2013-10-01T05:23:00
<47.72886°N 3.36437°W @ 2013-10-01T05:33:00
<47.72889°N 3.364387°W @ 2013-10-01T05:52:00
<47.72883°N 3.364378°W @ 2013-10-01T06:02:00
<47.72884°N 3.364387°W @ 2013-10-01T06:13:00
<47.72886°N 3.364368°W @ 2013-10-01T06:28:00
<47.72888°N 3.363923°W @ 2013-10-01T06:32:00
AEGIR (30 positions)
<49.98507°N 2.906167°W @ 2013-10-01T14:37:00
<49.95783°N 2.993633°W @ 2013-10-01T14:56:00
<49.92278°N 3.104333°W @ 2013-10-01T15:22:00
<49.90282°N 3.168667°W @ 2013-10-01T15:37:00
<49.89017°N 3.209483°W @ 2013-10-01T15:47:00
<49.81183°N 3.4806°W @ 2013-10-01T16:53:00
<49.78145°N 3.583033°W @ 2013-10-01T17:18:00
<49.77632°N 3.599817°W @ 2013-10-01T17:22:00
<49.7415°N 3.708617°W @ 2013-10-01T17:48:00
<49.73005°N 3.744533°W @ 2013-10-01T17:56:00
<49.66835°N 3.9136°W @ 2013-10-01T18:38:00
<49.65192°N 3.954833°W @ 2013-10-01T18:49:00
<49.63903°N 3.988567°W @ 2013-10-01T18:58:00
<49.62288°N 4.0322°W @ 2013-10-01T19:08:00
<49.61012°N 4.066916°W @ 2013-10-01T19:17:00
<49.59073°N 4.1192°W @ 2013-10-01T19:29:00
<49.57728°N 4.15515°W @ 2013-10-01T19:38:00
<49.56018°N 4.2008°W @ 2013-10-01T19:48:00
<49.54775°N 4.23635°W @ 2013-10-01T19:56:00
<49.53187°N 4.282883°W @ 2013-10-01T20:07:00
<49.5181°N 4.32325°W @ 2013-10-01T20:16:00
<49.49963°N 4.37805°W @ 2013-10-01T20:29:00
<49.48725°N 4.41495°W @ 2013-10-01T20:37:00
<49.47208°N 4.460467°W @ 2013-10-01T20:48:00
<49.45768°N 4.503817°W @ 2013-10-01T20:58:00
<49.44247°N 4.55085°W @ 2013-10-01T21:09:00
<49.43038°N 4.58885°W @ 2013-10-01T21:18:00
<49.4184°N 4.626567°W @ 2013-10-01T21:26:00
<49.40242°N 4.678517°W @ 2013-10-01T21:38:00
<49.38835°N 4.717566°W @ 2013-10-01T21:47:00
AFRICAN HALCYON (48 positions)
<48.46112°N 5.8448°W @ 2013-10-01T08:29:00
<48.48917°N 5.822367°W @ 2013-10-01T08:38:00
<48.51826°N 5.8°W @ 2013-10-01T08:47:00
<48.5538°N 5.7733°W @ 2013-10-01T08:58:00
<48.58484°N 5.74905°W @ 2013-10-01T09:08:00
<48.62095°N 5.7206°W @ 2013-10-01T09:19:00
<48.65033°N 5.697267°W @ 2013-10-01T09:28:00
<48.68515°N 5.6705°W @ 2013-10-01T09:39:00
<48.71942°N 5.64555°W @ 2013-10-01T09:49:00
<48.73998°N 5.6304°W @ 2013-10-01T09:55:00
<48.80272°N 5.553483°W @ 2013-10-01T10:18:00
<48.8218°N 5.505683°W @ 2013-10-01T10:28:00
<48.83435°N 5.474667°W @ 2013-10-01T10:35:00
<48.86195°N 5.40555°W @ 2013-10-01T10:49:00
<48.88237°N 5.355467°W @ 2013-10-01T10:59:00
<48.89075°N 5.334733°W @ 2013-10-01T11:03:00
<48.91765°N 5.26625°W @ 2013-10-01T11:17:00
<48.92412°N 5.250183°W @ 2013-10-01T11:21:00
<48.95783°N 5.16115°W @ 2013-10-01T11:39:00
<48.97463°N 5.114967°W @ 2013-10-01T11:48:00
<48.99308°N 5.06415°W @ 2013-10-01T11:58:00
<49.01252°N 5.011883°W @ 2013-10-01T12:09:00
